City_or_Town,Latitude,Longitude
Laredo,27.53085,-99.49954
Alice,27.76111,-98.07078
Valentine,31.59883,-104.47881
Rio Hondo,26.23672,-97.58388
Mercedes,26.15081,-97.91347
San Benito,26.13574,-97.62962
San Antonio,29.42466,-98.49522
Seguin,29.56619,-97.96562
Corpus Christi,27.79889,-97.39561
Rio Grande City,26.3783,-98.81986
Hebbronville,27.30753,-98.68078
Kingsville,27.51983,-97.85543
Port Arthur,29.9101,-93.92772
Houston,29.76426,-95.36952
Big Wells,28.5751,-99.56862
"El Paso,TX",31.8469,-106.40924
Eagle Pass,28.63749,-100.34416
Presidio,29.79749,-104.2455
Fentress,29.75604,-97.77629
Vanderbilt,28.82206,-96.62022
Alamo,26.18237,-98.12322
Hidalgo,26.09949,-98.26283
Roma,26.42879,-99.0233
Cotulla,28.43285,-99.23786
Agua Nueva,26.8994,-98.60512
Guerra,26.8825,-98.89384
Randado,27.07378,-98.88298
Cuevitas,26.09859,-98.27345
Del Rio,29.37064,-100.89586
Crystal City,26.19128,-97.69584
Harlingen,26.19258,-97.6938
Uribeno Cemetery,26.90059,-99.17396
Ysleta,31.69814,-106.32635
Zapata,26.98673,-99.20951
Uvalde,29.19677,-99.78629
Clear Springs,29.67642,-98.05972
San Diego,27.77314,-98.49491
Benavides,27.58605,-98.42157
El Campo Ranch,29.18272,-96.23585